"State.UnionTerritory","Date","Day","ConfirmedIndianNational","ConfirmedForeignNational","Total Confirmed","Cured","Deaths"
"Madhya Pradesh","26/03/20",57,20,0,20,0,1
"Maharashtra","26/03/20",57,121,3,124,1,3
"Manipur","26/03/20",57,1,0,1,0,0
"Mizoram","26/03/20",57,1,0,1,0,0
"Odisha","26/03/20",57,2,0,2,0,0
"Puducherry","26/03/20",57,1,0,1,0,0
"Punjab","26/03/20",57,33,0,33,0,1
"Rajasthan","26/03/20",57,39,2,41,3,0
"Tamil Nadu","26/03/20",57,20,6,26,1,1
"Telengana","26/03/20",57,34,10,44,1,0
"Uttarakhand","26/03/20",57,4,1,5,0,0
"Uttar Pradesh","26/03/20",57,40,1,41,11,0
"West Bengal","26/03/20",57,10,0,10,0,1
"Andaman and Nicobar Islands","27/03/20",58,1,0,1,0,0
"Andhra Pradesh","27/03/20",58,12,0,12,1,0
"Bihar","27/03/20",58,6,0,6,0,1
"Chandigarh","27/03/20",58,7,0,7,0,0
"Chhattisgarh","27/03/20",58,6,0,6,0,0
"Delhi","27/03/20",58,35,1,36,6,1
"Goa","27/03/20",58,3,0,3,0,0
"Gujarat","27/03/20",58,42,1,43,0,3
"Haryana","27/03/20",58,16,14,30,11,0
"Himachal Pradesh","27/03/20",58,3,0,3,0,1
"Jammu and Kashmir","27/03/20",58,13,0,13,1,1
"Karnataka","27/03/20",58,55,0,55,3,2
"Kerala","27/03/20",58,129,8,137,11,0
"Ladakh","27/03/20",58,13,0,13,3,0
"Madhya Pradesh","27/03/20",58,20,0,20,0,1
"Maharashtra","27/03/20",58,127,3,130,15,4
"Manipur","27/03/20",58,1,0,1,0,0
"Mizoram","27/03/20",58,1,0,1,0,0
"Odisha","27/03/20",58,2,0,2,0,0
"Puducherry","27/03/20",58,1,0,1,0,0
"Punjab","27/03/20",58,33,0,33,0,1
"Rajasthan","27/03/20",58,39,2,41,3,0
"Tamil Nadu","27/03/20",58,23,6,29,1,1
"Telengana","27/03/20",58,35,10,45,1,0
"Uttarakhand","27/03/20",58,4,1,5,0,0
"Uttar Pradesh","27/03/20",58,40,1,41,11,0
"West Bengal","27/03/20",58,10,0,10,0,1
