"State","Date","Day","Confirmed.Indians","Confirmed.Foreigners","Total.Confirmed","Deaths","Recovered","Active.Cases","Closed.Cases","Death.Rate"
"Delhi","13/02/2020",14,0,0,0,0,0,0,0,0
"Goa","13/02/2020",14,0,0,0,0,0,0,0,0
"Gujarat","13/02/2020",14,0,0,0,0,0,0,0,0
"Haryana","13/02/2020",14,0,0,0,0,0,0,0,0
"Himachal Pradesh","13/02/2020",14,0,0,0,0,0,0,0,0
"Jammu and Kashmir","13/02/2020",14,0,0,0,0,0,0,0,0
"Karnataka","13/02/2020",14,0,0,0,0,0,0,0,0
"Kerala","13/02/2020",14,3,0,3,0,0,3,0,0
"Ladakh","13/02/2020",14,0,0,0,0,0,0,0,0
"Madhya Pradesh","13/02/2020",14,0,0,0,0,0,0,0,0
"Maharashtra","13/02/2020",14,0,0,0,0,0,0,0,0
"Manipur","13/02/2020",14,0,0,0,0,0,0,0,0
"Mizoram","13/02/2020",14,0,0,0,0,0,0,0,0
"Odisha","13/02/2020",14,0,0,0,0,0,0,0,0
"Puducherry","13/02/2020",14,0,0,0,0,0,0,0,0
"Punjab","13/02/2020",14,0,0,0,0,0,0,0,0
"Rajasthan","13/02/2020",14,0,0,0,0,0,0,0,0
"Tamil Nadu","13/02/2020",14,0,0,0,0,0,0,0,0
"Telengana","13/02/2020",14,0,0,0,0,0,0,0,0
"Uttar Pradesh","13/02/2020",14,0,0,0,0,0,0,0,0
"Uttarakhand","13/02/2020",14,0,0,0,0,0,0,0,0
"West Bengal","13/02/2020",14,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","14/02/2020",15,0,0,0,0,0,0,0,0
"Andhra Pradesh","14/02/2020",15,0,0,0,0,0,0,0,0
"Bihar","14/02/2020",15,0,0,0,0,0,0,0,0
"Chandigarh","14/02/2020",15,0,0,0,0,0,0,0,0
"Chhattisgarh","14/02/2020",15,0,0,0,0,0,0,0,0
"Delhi","14/02/2020",15,0,0,0,0,0,0,0,0
"Goa","14/02/2020",15,0,0,0,0,0,0,0,0
"Gujarat","14/02/2020",15,0,0,0,0,0,0,0,0
"Haryana","14/02/2020",15,0,0,0,0,0,0,0,0
"Himachal Pradesh","14/02/2020",15,0,0,0,0,0,0,0,0
"Jammu and Kashmir","14/02/2020",15,0,0,0,0,0,0,0,0
"Karnataka","14/02/2020",15,0,0,0,0,0,0,0,0
"Kerala","14/02/2020",15,3,0,3,0,0,3,0,0
"Ladakh","14/02/2020",15,0,0,0,0,0,0,0,0
"Madhya Pradesh","14/02/2020",15,0,0,0,0,0,0,0,0
"Maharashtra","14/02/2020",15,0,0,0,0,0,0,0,0
"Manipur","14/02/2020",15,0,0,0,0,0,0,0,0
"Mizoram","14/02/2020",15,0,0,0,0,0,0,0,0
"Odisha","14/02/2020",15,0,0,0,0,0,0,0,0
"Puducherry","14/02/2020",15,0,0,0,0,0,0,0,0
"Punjab","14/02/2020",15,0,0,0,0,0,0,0,0
"Rajasthan","14/02/2020",15,0,0,0,0,0,0,0,0
"Tamil Nadu","14/02/2020",15,0,0,0,0,0,0,0,0
"Telengana","14/02/2020",15,0,0,0,0,0,0,0,0
"Uttar Pradesh","14/02/2020",15,0,0,0,0,0,0,0,0
"Uttarakhand","14/02/2020",15,0,0,0,0,0,0,0,0
"West Bengal","14/02/2020",15,0,0,0,0,0,0,0,0
"Andaman and Nicobar Islands","15/02/2020",16,0,0,0,0,0,0,0,0
"Andhra Pradesh","15/02/2020",16,0,0,0,0,0,0,0,0
"Bihar","15/02/2020",16,0,0,0,0,0,0,0,0
"Chandigarh","15/02/2020",16,0,0,0,0,0,0,0,0
"Chhattisgarh","15/02/2020",16,0,0,0,0,0,0,0,0
"Delhi","15/02/2020",16,0,0,0,0,0,0,0,0
